,date,source,target,text,hashtags
0,2011-11-14 15:30:03+00:00,EXC,F,An Economic Outlook From An Individual Investor http://seekingalpha.com/a/6le7 $XOM $JNJ $GLW $EXC $GE $INTC $NLY $F,
1,2011-11-09 18:19:01+00:00,EXC,KO,Timely Ten: The Best Blue Chips $ABT $CVS $ETN $EXC $JNJ $KO $MMM $T $UTX: Our primary purpose is to assist inve... http://bit.ly/tV2pcy,
2,2011-10-21 20:00:04+00:00,EXC,KO,Can These Stocks Keep Paying Big Dividends? http://seekingalpha.com/a/6gge $NLY $CMO $CIM $MFA $JNJ $ABT $EXC $PPL $KO $PEP,
3,2011-10-20 21:54:19+00:00,EXC,KO,5 Dividend Stocks To Buy And Hold Forever http://stks.co/j2U $BP $BTI $COP $CVX $EXC JNJ$$KMB $KO $PG $PM $PPL,
4,2011-10-20 19:40:09+00:00,EXC,KO,5 Dividend Stocks To Buy And Hold Forever http://seekingalpha.com/a/6g7k $PM $KO $PPL $BTI $EXC $COP $CVX $BP $PG $JNJ $KMB,
5,2011-12-29 13:10:02+00:00,EXC,WMT,10 Safe Dividend Stocks For 2012 http://seekingalpha.com/a/6s70 $AZN $WMT $TOT $AFL $HRS $ESLT $CHL $EXC $HAS $BBL,
6,2011-12-11 21:47:24+00:00,EXC,WMT,McCall's Call: Weekend Update - Top Stocks on WatchList http://etfbulletin.blogspot.com/2011/12/weekend-update-top-stocks-on-watchlist.html?spref=tw $WMT $XLU $EVEP $OII $HDV $EXC #ETF,#ETF
7,2011-10-03 11:31:10+00:00,EXC,WMT,An Industry Scan: Finding Bargains Among The Market Wreckage http://seekingalpha.com/a/6d9s $MCD $WMT $AAPL $SPY $PM $EXC $NEE $PKX $NUE,
8,2011-10-03 11:30:07+00:00,EXC,WMT,An Industry Scan: Finding Bargains Among The Market Wreckage http://seekingalpha.com/a/6d9s $MCD $WMT $AAPL $SPY $PM $EXC $NEE $PKX $NUE,
9,2011-11-10 13:29:59+00:00,EXC,HD,“@Attitrade: $SPX components still &gt; the 5-day: $PCLN $YHOO $PGR $SVU $AMGN $BBY $ESRX $AEE $WHR $CEG $EXC $CVS $LOW $YUM $TAP $MHS $THC $HD,
10,2011-12-29 09:10:17+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/29/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/w4Q93Q,#stockmarket
11,2011-12-28 09:42:17+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/28/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/vgX2no,#stockmarket
12,2011-12-27 16:06:38+00:00,EXC,NEE,Wellington Management's Top Holdings in the Utilities Sector http://bit.ly/rRpW95 $AEP $CIG $EQT $EXC $NEE $NU $PCG $UGI $XEL,
13,2011-12-27 16:03:50+00:00,EXC,NEE,Hartford Investment Management's Top Holdings in the Utilities Sector http://bit.ly/s6DxSN $AEP $DUK $ED $EXC $FE $NEE $PEG $PPL $SO,
14,2011-12-27 16:00:21+00:00,EXC,NEE,MacQuarie Group Ltd.'s Top Holdings in the Utilities Sector http://bit.ly/rB1krW $AEP $AWK $EIX $EXC $FE $NEE $NGG $PCG $PGN $SO,
15,2011-12-27 15:57:41+00:00,EXC,NEE,State Teachers Retiremem of Ohio's Top Holdings in the Utilities Sector http://bit.ly/uDw7R3 $AEP $AES $AGL $EXC $LNT $NEE $PPL $SO $TE,
16,2011-12-23 16:32:38+00:00,EXC,NEE,New York State Common Retnt Fund's Top Holdings in the Utilities Sector http://bit.ly/vZ4Bzr $AEP $DUK $EXC $FE $NEE $PCG $PEG $SO $SRE,
17,2011-12-23 16:30:07+00:00,EXC,NEE,Glenmede Trust Co.'s Top Holdings in the Utilities Sector http://bit.ly/sfEUUY $CNL $DUK $ETR $EXC $FE $NEE $PCG $PEG $SRE,
18,2011-12-23 16:27:48+00:00,EXC,NEE,World Asset Management's Top Holdings in the Utilities Sector http://bit.ly/rTlT5Q $AEP $DUK $ED $EXC $FE $NEE $NGG $SO $TRP,
19,2011-12-23 16:24:56+00:00,EXC,NEE,Envestnet Asset Management's Top Holdings in the Utilities Sector http://bit.ly/s2sxXD $EXC $KMI $NEE $NGG $NI $OGE $PCG $SRE $SUG $WEC,
20,2011-12-22 14:47:31+00:00,EXC,NEE,BMO Financial's Top Holdings in the Utilities Sector http://bit.ly/sDa8wZ $AEP $AES $CMS $EXC $NEE $NRG $POR $SO $TAC $TRP,
21,2011-12-21 15:36:37+00:00,EXC,NEE,LPL Financial's Top Holdings in the Utilities Sector http://bit.ly/s9n3uV $DUK $ED $EXC $FE $NEE $OGE $PCG $PEG $SO,
22,2011-12-21 15:32:35+00:00,EXC,NEE,MetLife Securities' Top Holdings in the Utilities Sector http://bit.ly/suwZ8F $DUK $ED $EXC $FE $NEE $OGE $PCG $PEG $SO,
23,2011-12-21 15:26:49+00:00,EXC,NEE,Prudential Financial's Top Holdings in the Utilities Sector http://bit.ly/tYlR15 $AES $DUK $ETR $EXC $FE $NEE $PCG $SO $SRE,
24,2011-12-21 15:23:59+00:00,EXC,NEE,Fifth Third Bancorp's Top Holdings in the Utilities Sector http://bit.ly/tjppp3 $DUK $ED $EXC $NEE $OKE $PGN $SO $VVC $WEC,
25,2011-12-20 15:39:09+00:00,EXC,NEE,Public Emplsociation of Colorado's Top Holdings in the Utilities Sector http://bit.ly/sxaAma $AEP $DUK $EIX $EXC $FE $NEE $PEG $PPL $SO,
26,2011-12-20 15:35:57+00:00,EXC,NEE,Comerica Bank's Top Holdings in the Utilities Sector http://bit.ly/tcf1sz $AEP $CMS $DUK $EXC $FE $NEE $PEG $PGN $SO,
27,2011-12-20 09:54:12+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/20/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/uJKT96,#stockmarket
28,2011-12-19 15:33:09+00:00,EXC,NEE,Metropolitan Life Insurance Co's Top Holdings in the Utilities Sector http://bit.ly/rTv3lk $AEP $DUK $ED $EXC $FE $NEE $PCG $PEG $SO,
29,2011-12-19 15:30:05+00:00,EXC,NEE,First Allied Securities' Top Holdings in the Utilities Sector http://bit.ly/sN2KSF $CNP $CPL $DUK $ED $EXC $FE $NEE $PGN $SO,
30,2011-12-19 15:24:46+00:00,EXC,NEE,State Board of Florida Retirement's Top Holdings in the Utilities Sector http://bit.ly/tzrRfn $AEP $DUK $ED $EXC $FE $NEE $PCG $PPL $SO,
31,2011-12-19 15:22:08+00:00,EXC,NEE,Manulife Asset Management's Top Holdings in the Utilities Sector http://bit.ly/ud7StR $AEP $DUK $ED $EXC $FE $NEE $PCG $PEG $SO,
32,2011-12-19 09:21:53+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/19/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/uC8nnD,#stockmarket
33,2011-12-16 15:52:03+00:00,EXC,NEE,Rhumbline Advisers' Top Holdings in the Utilities Sector http://bit.ly/tyi6rh $AEP $DUK $ED $EXC $FE $NEE $PCG $PEG $SO,
34,2011-12-16 15:45:43+00:00,EXC,NEE,Russell Frank Co's Top Holdings in the Utilities Sector http://bit.ly/uODNsE $AEP $AES $CPN $EIX $EXC $KMI $NEE $PCG $PEG $TRP,
35,2011-12-16 09:50:47+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/16/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/tiC7LU,#stockmarket
36,2011-12-15 15:56:27+00:00,EXC,NEE,Geode Capital Management's Top Holdings in the Utilities Sector http://bit.ly/sk2SyO $AEP $DUK $ED $EXC $FE $NEE $PCG $PEG $SO,
37,2011-12-15 15:44:53+00:00,EXC,NEE,PNC Financial Services Group's Top Holdings in the Utilities Sector http://bit.ly/s1wKZV $ED $EQT $EXC $NEE $NU $OGE $PPL $SO $WEC,
38,2011-12-15 09:14:30+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/15/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/u3SRLm,#stockmarket
39,2011-12-14 16:11:56+00:00,EXC,NEE,BlackRock Investment Managet LLC's Top Holdings in the Utilities Sector http://bit.ly/uogd9K $DUK $EQT $EXC $FE $NEE $NRG $PEG $PPL $SO,
40,2011-12-14 16:07:17+00:00,EXC,NEE,BlackRock Japan Co. Ltd.'s Top Holdings in the Utilities Sector http://bit.ly/tWMiTe $AEP $DUK $EXC $FE $NEE $PCG $PEG $SO $TRP,
41,2011-12-14 16:03:05+00:00,EXC,NEE,BlackRock Fund Advisors' Top Holdings in the Utilities Sector http://bit.ly/tKQjXh $AEP $DUK $ETR $EXC $FE $NEE $PCG $PPL $SO,
42,2011-12-14 15:59:46+00:00,EXC,NEE,US Bancorp's Top Holdings in the Utilities Sector http://bit.ly/w0PX1z $AEP $DUK $EXC $NEE $PCG $PEG $SO $WEC $XEL,
43,2011-12-14 15:56:53+00:00,EXC,NEE,Parametric Portfolio Associates' Top Holdings in the Utilities Sector http://bit.ly/w4KXr4 $AEP $DUK $EIX $EXC $FE $NEE $PCG $PEG $SO,
44,2011-12-14 09:46:18+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/14/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/vMq1pU,#stockmarket
45,2011-12-13 15:45:56+00:00,EXC,NEE,Morgan Stanley's Top Holdings in the Utilities Sector http://bit.ly/sFq1CA $AEP $BIP $DUK $ED $EXC $NEE $PCG $SO $SUG,
46,2011-12-13 15:42:51+00:00,EXC,NEE,American International Group's Top Holdings in the Utilities Sector http://bit.ly/tzEF55 $DUK $ED $EXC $LNT $NEE $NST $OGE $SO $SUG,
47,2011-12-13 15:39:48+00:00,EXC,NEE,BlackRock Group Ltd's Top Holdings in the Utilities Sector http://bit.ly/vlXpIH $AEP $CIG $DUK $EXC $FE $NEE $PPL $SO $TRP,
48,2011-12-13 09:18:50+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/13/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/uY9Eoo,#stockmarket
49,2011-12-12 20:30:05+00:00,EXC,NEE,"Exelon, NextEra And The Green Craze http://seekingalpha.com/a/6ps7 $EXC $NEE",
50,2011-12-12 16:00:08+00:00,EXC,NEE,Asset Class Trend: Defensive Sectors Are Still In Favor http://seekingalpha.com/a/6ppt $D $DUK $EXC $IYZ $NEE $SO $XLB $XLE $XLF $XLI $XLK,
51,2011-12-12 15:58:10+00:00,EXC,NEE,Asset Class Trend: Defensive Sectors Are Still In Favor http://seekingalpha.com/a/6ppt $D $DUK $EXC $IYZ $NEE $SO $XLB $XLE $XLF $XLI $XLK,
52,2011-12-12 15:21:07+00:00,EXC,NEE,UBS AG's Top Holdings in the Utilities Sector http://bit.ly/s8lkWB $AEP $DPL $DUK $EXC $NEE $NGG $NRG $NU $SO $SUG,
53,2011-12-12 15:15:41+00:00,EXC,NEE,Bank of America Corp.'s Top Holdings in the Utilities Sector http://bit.ly/sbezFe $AEP $AWK $CMS $ED $EXC $NEE $SO $WEC $XEL,
54,2011-12-10 19:01:18+00:00,EXC,NEE,Asset Class Trend: Defensive Sectors in Favor http://stks.co/1TtM $D $DUK $EXC $NEE $SO $SPY $XLB $XLE $XLF $XLI $XLK $XLP $XLU $XLV $XLY,
55,2011-12-09 16:04:54+00:00,EXC,NEE,"Vanguard Group, Inc.'s Top Holdings in the Utilities Sector http://bit.ly/ux1SFv #Inc. $AEP $DUK $ED $EXC $FE $NEE $PCG $PEG $SO",#Inc
56,2011-12-09 16:01:30+00:00,EXC,NEE,Morgan Stanley's Top Holdings in the Utilities Sector http://bit.ly/tNAL3V $AEP $BIP $DUK $ED $EXC $NEE $PCG $SO $SUG,
57,2011-12-09 15:56:03+00:00,EXC,NEE,Wells Fargo Co.'s Top Holdings in the Utilities Sector http://bit.ly/tad1ro $DUK $EGN $EXC $NEE $NFG $NU $PEG $SCG $SO,
58,2011-12-09 15:13:43+00:00,EXC,NEE,Legg Mason Investment Counses Top Holdings in the Utilities Sector http://bit.ly/shWkif $AWK $DPL $DUK $ETR $EXC $NEE $NU $PEG $SO $WTR,
59,2011-12-09 14:36:18+00:00,EXC,NEE,(DJU) Dow Jones Utility Index Bottom 5 Stocks 12/9/2011 $NEE $CNP $D $FE $EXC #stockmarket http://bit.ly/sg6NSb,#stockmarket
60,2011-12-08 22:50:06+00:00,EXC,NEE,First Solar Projects Are Hot Commodities http://seekingalpha.com/a/6pck $FSLR $NEE $GE $NRG $EXC $PCG,
61,2011-12-08 20:30:06+00:00,EXC,NEE,Powerful Utility Dividends http://seekingalpha.com/a/6pbe $TEG $FE $VVC $EXC $PPL $ETR $UNS $PNW $SCG $BKH $AGL $AVA $PEG $ARTNA $D $NEE,
62,2011-12-08 16:27:20+00:00,EXC,NEE,TIAA-CREF Investment Management's Top 10 Holdings for Q3 2011 http://bit.ly/vNb683 $CNP $EXC $FE $NEE $NI $PCG $PEG $SO $XEL,
63,2011-12-08 16:21:58+00:00,EXC,NEE,Eaton Vance Management's Top Holdings in the Utilities Sector http://bit.ly/tMkVOY $AEP $CMS $EIX $EXC $NEE $NJR $PCG $PEG $PPL $SRE,
64,2011-12-08 15:26:40+00:00,EXC,NEE,Northern Trust Co. of cut's Top Holdings in the Utilities Sector http://bit.ly/vcowRF $AEP $CMS $EIX $ETR $EXC $NEE $NRG $PEG $POR $PPL,
65,2011-12-08 15:03:05+00:00,EXC,NEE,Northern Trust Corp.'s Top Holdings in the Utilities Sector http://bit.ly/sigIAT $AEP $DUK $ED $EXC $FE $NEE $PCG $PEG $SO,
66,2011-12-07 14:33:00+00:00,EXC,NEE,Morgan Stanley's Top Holdings in the Utilities Sector http://bit.ly/shXKFG $AEP $BIP $DUK $ED $EXC $NEE $PCG $SO $SUG,
67,2011-12-06 18:17:48+00:00,EXC,NEE,BlackRock Institutional T Company's Top Holdings in the Utilities Sector http://bit.ly/sKKCPq $AEP $DUK $ED $EXC $FE $NEE $PCG $PEG $SO,
